Carimbo de data/hora,Nome de quem compartilha,Título da Atividade,Idade Recomendada,Série Escolar,Tipo de Deficiência/Neurodivergência,Descrição da Atividade,Link do Vídeo/Conteúdo
2026-07-01 13:16:00,Profa. Luiza T.,Massinha Sensorial Terapêutica,12-14 anos,8º ano,Deficiência Física,Atividade de manipulação de massinha para canalizar energia e melhorar o foco.,https://youtube.com/watch?v=exemplo15
2026-07-02 14:23:00,Profa. Renata C.,Jogo de Rimas Sonoras,3-5 anos,Educação Infantil,TEA (Autismo),Atividade de áudio para treinar consciência fonológica de forma lúdica.,https://youtube.com/watch?v=exemplo15
2026-07-03 15:30:00,Profa. Luiza T.,Caça-Palavras com Figuras,6-8 anos,1º ano,TDAH,"Jogo de associação entre palavras curtas e imagens, reforçando a leitura de forma lúdica.",https://youtube.com/watch?v=exemplo5
2026-07-04 16:37:00,Profa. Luiza T.,História Social em Quadrinhos,3-5 anos,Educação Infantil,TDAH,"Roteiro ilustrado que antecipa situações sociais novas, reduzindo a ansiedade.",https://youtube.com/watch?v=exemplo18
2026-07-05 9:44:00,Prof. Bruno L.,Jogo da Memória Tátil,12-14 anos,6º ano,Síndrome de Down,Peças com texturas diferentes para trabalhar memória e discriminação tátil.,
2026-07-06 10:51:00,Prof. Diego M.,Cartas de Emoções,6-8 anos,2º ano,Deficiência Intelectual,"Conjunto de cartas ilustradas para nomear e reconhecer emoções, apoiando o desenvolvimento socioemocional.",https://youtube.com/watch?v=exemplo7
2026-07-07 11:58:00,Prof. Otávio S.,Alfabeto em Alto-Relevo,12-14 anos,7º ano,Deficiência Intelectual,Letras em EVA texturizado para reconhecimento tátil do alfabeto.,https://youtube.com/watch?v=exemplo4
2026-07-08 12:05:00,Prof. Diego M.,Cronômetro Visual de Tarefas,3-5 anos,Educação Infantil,Deficiência Intelectual,Timer visual em disco colorido que mostra o tempo restante de forma intuitiva.,https://youtube.com/watch?v=exemplo16
2026-07-09 13:12:00,Equipe AEE Escola Girassol,Painel de Reforço Positivo,6-8 anos,1º ano,Síndrome de Down,Quadro de adesivos para acompanhar conquistas diárias e motivar a autorregulação.,
2026-07-10 14:19:00,Prof. Diego M.,Trilha de Leitura em Blocos,6-8 anos,2º ano,Deficiência Física,Texto dividido em blocos curtos com espaçamento ampliado e fonte adaptada.,
2026-07-11 15:26:00,Prof. Diego M.,Tabuleiro de Rotina Visual,3-5 anos,Educação Infantil,Síndrome de Down,"Cartões com pictogramas para organizar a rotina do dia, reduzindo a ansiedade frente a mudanças.",https://youtube.com/watch?v=exemplo16
2026-07-12 16:33:00,Profa. Luiza T.,Dominó das Emoções,6-8 anos,2º ano,Deficiência Física,Variação do dominó clássico associando expressões faciais e situações do dia a dia.,
2026-07-13 9:40:00,Profa. Fernanda A.,Tabuleiro de Rotina Visual,3-5 anos,Educação Infantil,Deficiência Intelectual,"Cartões com pictogramas para organizar a rotina do dia, reduzindo a ansiedade frente a mudanças.",https://youtube.com/watch?v=exemplo17
2026-07-14 10:47:00,Prof. Otávio S.,Caixa Sensorial de Descoberta,12-14 anos,7º ano,Deficiência Intelectual,Recipiente com grãos e objetos variados para estímulo tátil supervisionado.,https://youtube.com/watch?v=exemplo10
2026-07-15 11:54:00,Prof. Bruno L.,Caça-Palavras com Figuras,6-8 anos,2º ano,Discalculia,"Jogo de associação entre palavras curtas e imagens, reforçando a leitura de forma lúdica.",
2026-07-16 12:01:00,Prof. Bruno L.,Caça-Palavras com Figuras,3-5 anos,Educação Infantil,TEA (Autismo),"Jogo de associação entre palavras curtas e imagens, reforçando a leitura de forma lúdica.",
2026-07-17 13:08:00,Equipe AEE Escola Girassol,Contação de Histórias em Libras,6-8 anos,1º ano,Síndrome de Down,"Vídeo de história infantil narrado simultaneamente em Libras e português, com legendas.",https://youtube.com/watch?v=exemplo5
2026-07-18 14:15:00,Prof. Bruno L.,Massinha Sensorial Terapêutica,3-5 anos,Educação Infantil,Deficiência Intelectual,Atividade de manipulação de massinha para canalizar energia e melhorar o foco.,https://youtube.com/watch?v=exemplo16
2026-07-19 15:22:00,Prof. Bruno L.,Jogo de Rimas Sonoras,3-5 anos,Educação Infantil,Deficiência Intelectual,Atividade de áudio para treinar consciência fonológica de forma lúdica.,
2026-07-20 16:29:00,Profa. Luiza T.,Cronômetro Visual de Tarefas,9-11 anos,5º ano,Discalculia,Timer visual em disco colorido que mostra o tempo restante de forma intuitiva.,https://youtube.com/watch?v=exemplo17
2026-07-21 9:36:00,Núcleo de Inclusão Municipal,Painel de Reforço Positivo,12-14 anos,6º ano,Deficiência Auditiva,Quadro de adesivos para acompanhar conquistas diárias e motivar a autorregulação.,https://youtube.com/watch?v=exemplo5
2026-07-22 10:43:00,Profa. Renata C.,Contação de Histórias em Libras,3-5 anos,Educação Infantil,TDAH,"Vídeo de história infantil narrado simultaneamente em Libras e português, com legendas.",https://youtube.com/watch?v=exemplo14
